"","X","zone","year","young_sum","working_sum","old_sum","total_pop","birthing_age","birth_rate","fertility_rate","working_male","dependency_ratio","young_dependency_ratio","old_dependency_ratio","young_sex_ratio","working_sex_ratio","old_sex_ratio","total_sex_ratio","city_size","city_name","country_iso","country_name","continent_name","latitude","longitude"
"44",91476,4356,2020,2958.67453765869,3303.8664855957,209.514702796936,6472.05572605133,2914.39124298096,37.421524354947,83.1028406231683,1649.38540649414,0.958933799010461,0.895518796100874,0.0634150029095863,103.823138985499,98.2733615175887,72.5671015901377,100.808049019834,"<50k","Chinsali","ZMB","Zambia","Africa",-10.5489719951,32.0699065109
"41",90153,4293,2020,2705.59664916992,3036.05007553101,213.784947395325,5955.43167209625,2669.94401550293,37.9129928705765,84.566656534504,1485.01522445679,0.961572281068074,0.891156793155565,0.0704154879125087,101.667370628188,93.0785153236944,53.1557286708813,96.5395219010714,"<50k","Sinda","ZMB","Zambia","Africa",-14.213439258,31.7543195785
"43",90804,4324,2020,1588.64356994629,1757.128490448,123.155457496643,3468.92751789093,1547.03094482422,38.8167203932339,87.039234720458,870.930389404297,0.97420253370685,0.904113488901001,0.0700890448058487,103.505161927108,95.6554427688119,52.1169484137719,98.5953146296099,"<50k","N/A","ZMB","Zambia","Africa",-14.0988678494,32.0596321275
"42",90783,4323,2020,5222.42668151855,5776.50066375732,405.214227676392,11404.1415729523,5085.60214233398,38.8158209648669,87.0420267186997,2857.66664123535,0.974230115561771,0.904081378244251,0.0701487373175198,103.113150598766,95.2921729947946,51.8569123427276,98.2186520875433,"<50k","Katete","ZMB","Zambia","Africa",-14.0579548265,32.0459180428
"4",75033,3573,2020,687.984157562256,746.033360481262,44.0430109500885,1478.06052899361,661.16428565979,39.7937180531754,88.9605280140072,365.044937133789,0.981225783308293,0.922189534685742,0.0590362486225503,103.163918153381,93.0363823533103,75.4042760206572,98.3487091450559,"<50k","Mwinilunga","ZMB","Zambia","Africa",-11.7370582458,24.426123146
"2",73689,3509,2020,442.426950454712,493.316396713257,43.5434436798096,979.286790847778,435.831684112549,38.3189444404481,86.1002939842948,241.351731300354,0.985108943007615,0.896842175533596,0.0882667674740182,103.094800356313,91.8674826969152,87.206149342606,97.861586240022,"<50k","Zambezi","ZMB","Zambia","Africa",-13.5467750302,23.1067480093
"45",91707,4367,2020,895.365547180176,962.001657485962,53.4400496482849,1910.80725431442,854.590839385986,38.5525082067717,86.2007980409012,480.698022842407,0.986282704863537,0.930731813415032,0.0555508914485054,103.802757439452,96.4493021292456,62.669555915806,99.8384226191747,"<50k","Chadiza","ZMB","Zambia","Africa",-14.0620460028,32.432616792
"11",77616,3696,2020,22437.9403686523,23816.5606842041,1104.54041671753,47359.041469574,21602.5408935547,37.0456344829792,81.21478618608,11887.6548919678,0.988492045410402,0.942115054569315,0.0463769908410871,103.416295302627,96.3423137157817,63.5069453310477,99.854275530567,"<50k","Choma","ZMB","Zambia","Africa",-16.8167196941,26.9783279009
"8",76713,3653,2020,2775.36486053467,2840.47927474976,112.512985706329,5728.35712099075,2578.97666931152,40.2177092307691,89.3305487418441,1390.25040817261,1.01668682180243,0.97707625794213,0.0396105638602984,100.117005243402,93.3904502857288,60.8388833530893,96.8926388192483,"<50k","Kalomo","ZMB","Zambia","Africa",-17.0245560456,26.482487694
"9",76986,3666,2020,37.2466074228287,38.1204123198986,1.51153557002544,76.8785553127527,34.6077220439911,40.2154466729691,89.3357106123581,18.6119336783886,1.01672937500266,0.977077768998479,0.0396516060041783,99.6414534281745,92.9369187813707,60.2861708107018,96.4242816281377,"<50k","N/A","ZMB","Zambia","Africa",-16.6166428571,26.5988792901
"14",78456,3736,2020,11725.9625244141,12151.4647216797,731.837120056152,24609.2643661499,10911.4974365234,38.5584917958487,86.9629602796658,5904.70579528809,1.02520971173491,0.964983464379691,0.0602262473552235,102.983918575522,91.0058885285195,58.3617375163693,97.0839839908503,"<50k","Monze","ZMB","Zambia","Africa",-16.2759722892,27.4742562653
